,eventid,iyear,imonth,iday,country_txt,provstate,city,latitude,longitude,gname,targtype1_txt,Threat
0,197011010001,1970,11,1,Pakistan,Sindh,Karachi,24.891115,67.143311,Unknown,Government (Diplomatic),60.44504046438079
1,197202220004,1972,2,22,India,Delhi,New Delhi,28.585835999999997,77.153336,Others,Airports & Aircraft,1.2397207708399178
2,197501190004,1975,1,2,India,Bihar,Samastipur,25.863042,85.78100400000001,Others,Government (General),4.758596595708118
3,197502080001,1975,2,8,Pakistan,North-West Frontier Province,Peshawar,34.006004,71.53743,Others,Government (General),2.9260151319598084
4,197507270002,1975,7,27,Sri Lanka,Northern,Jaffna,9.666399,80.020477,Liberation Tigers of Tamil Eelam (LTTE),Government (General),52.925560465320395
5,197709280004,1977,9,28,India,Maharashtra,Bombay,19.075984,72.877656,Others,Airports & Aircraft,1.7397207708399178
6,197901130004,1979,1,13,India,Assam,Unknown,26.200605,92.937574,Others,Police,21.45311759548454
7,197901140001,1979,1,14,India,Manipur,Imphal,24.798346,93.94043,Unknown,Government (General),60.44504046438079
8,197902010008,1979,2,1,Sri Lanka,Northern,Jaffna,9.666399,80.020477,Liberation Tigers of Tamil Eelam (LTTE),Police,52.925560465320395
9,197903220008,1979,3,22,Sri Lanka,Northern,Valvettiturai,9.814936999999999,80.16608000000001,Liberation Tigers of Tamil Eelam (LTTE),Police,52.925560465320395
10,197906140040,1979,6,14,India,Mizoram,Unknown,23.164543,92.937574,Others,Government (General),6.806515028710283
11,197906300002,1979,6,30,Pakistan,Punjab,Rawalpindi,33.594013000000004,73.06907700000001,Others,Government (General),1.939720770839918
12,197907020003,1979,7,2,India,Mizoram,Aizawl,23.727107,92.717639,Others,Police,6.806515028710283
13,197908200003,1979,8,20,India,Mizoram,Champhai,23.469545,93.33793399999999,Others,Police,6.806515028710283
14,197908250002,1979,8,25,India,Mizoram,Aizawl,23.727107,92.717639,Others,Government (General),6.806515028710283
15,197908270007,1979,8,27,India,Delhi,New Delhi,28.585835999999997,77.153336,Others,Police,6.806515028710283
